1119.396,000.062,000.062,xptemplate
1119.496,000.076,000.076,xptemplate
1140.987,000.427,000.427,ctrlp.vim
1141.454,001.207,000.780,ctrlp.vim
1142.809,000.242,000.242,nerdtree
1145.360,000.880,000.880,nerdtree
1145.679,000.220,000.220,nerdtree
1145.912,000.152,000.152,nerdtree
1146.257,000.263,000.263,nerdtree
1146.879,000.542,000.542,nerdtree
1147.396,000.432,000.432,nerdtree
1148.209,000.727,000.727,nerdtree
1148.660,000.365,000.365,nerdtree
1149.185,000.441,000.441,nerdtree
1149.356,000.092,000.092,nerdtree
1149.713,000.264,000.264,nerdtree
1150.392,000.597,000.597,nerdtree
1150.512,000.039,000.039,nerdtree
1150.708,000.081,000.081,nerdtree
1151.564,000.764,000.764,nerdtree
1186.868,000.138,000.138,nerdtree
1187.648,000.756,000.756,nerdtree
1191.595,003.776,003.776,nerdtree-git-plugin
1192.024,050.391,039.620,nerdtree
1192.508,000.186,000.186,python-mode
1195.780,003.605,003.336,python-mode
1196.335,000.026,000.026,syntastic
1196.391,000.025,000.025,syntastic
1196.443,000.023,000.023,syntastic
1196.495,000.022,000.022,syntastic
1196.546,000.022,000.022,syntastic
1196.597,000.022,000.022,syntastic
1196.646,000.019,000.019,syntastic
1196.699,000.022,000.022,syntastic
1196.749,000.021,000.021,syntastic
1196.803,000.024,000.024,syntastic
1198.128,000.961,000.961,syntastic
1873.008,000.097,000.097,syntastic
1873.141,000.098,000.098,syntastic
1873.492,000.321,000.321,syntastic
1873.692,000.167,000.167,syntastic
1873.868,000.146,000.146,syntastic
1874.447,000.549,000.549,syntastic
1874.657,000.169,000.169,syntastic
1874.815,000.123,000.123,syntastic
1875.414,000.568,000.568,syntastic
1875.631,000.181,000.181,syntastic
1877.435,680.604,677.224,syntastic
1878.163,000.573,000.573,tabular
1914.257,035.978,035.978,targets.vim
1914.976,000.280,000.280,vim-airline
1915.533,000.269,000.269,vim-airline
1916.759,000.509,000.509,vim-airline
1918.506,004.079,003.021,vim-airline
1919.299,000.660,000.660,vim-commentary
1919.976,000.544,000.544,vim-indent-object
1922.037,001.959,001.959,vim-surround
1925.343,002.746,002.746,xptemplate
1925.961,003.542,000.796,xptemplate
1931.375,002.877,002.877,xptemplate
1934.505,006.199,003.322,xptemplate
1940.498,002.428,002.428,xptemplate
1940.574,006.020,003.592,xptemplate
1941.726,015.414,003.195,xptemplate
1941.880,000.013,000.013,xptemplate
1942.493,000.504,000.504,xptemplate
1944.036,018.030,002.099,xptemplate
1944.253,000.011,000.011,xptemplate
1944.930,000.839,000.828,xptemplate
1945.116,000.012,000.012,xptemplate
1945.269,000.017,000.017,xptemplate
1945.656,000.689,000.660,xptemplate
1946.270,000.020,000.020,xptemplate
1946.459,000.016,000.016,xptemplate
1946.615,000.015,000.015,xptemplate
1946.786,000.014,000.014,xptemplate
1949.058,001.898,001.898,xptemplate
1951.268,001.926,001.926,xptemplate
1953.148,007.263,003.374,xptemplate
1953.455,007.762,000.499,xptemplate
1953.512,000.012,000.012,xptemplate
1953.693,000.011,000.011,xptemplate
1953.897,000.368,000.357,xptemplate
1953.946,000.017,000.017,xptemplate
1958.788,000.419,000.419,tabular
1961.338,003.194,002.775,tabular
1966.767,000.457,000.457,syntastic
1967.539,000.426,000.426,vim-airline
1967.964,000.115,000.115,vim-airline
1968.369,000.093,000.093,vim-airline
1968.696,000.105,000.105,vim-airline
1969.079,000.039,000.039,vim-airline
1969.424,000.174,000.174,vim-airline
1969.998,000.107,000.107,vim-airline
1970.213,000.054,000.054,vim-airline
1970.695,000.246,000.246,vim-airline
1971.010,000.070,000.070,vim-airline
1971.499,000.138,000.138,vim-airline
1971.896,000.206,000.206,vim-airline
1972.257,000.145,000.145,vim-airline
1974.686,000.102,000.102,vim-airline
1975.092,000.171,000.171,vim-airline
1978.750,000.069,000.069,vim-airline
1979.103,000.563,000.494,vim-airline
1992.312,000.161,000.161,vim-airline
1996.890,000.194,000.194,vim-airline
1997.431,000.103,000.103,vim-airline
2058.688,003.475,003.475,xptemplate
2064.100,003.953,003.953,xptemplate
2064.423,004.746,000.793,xptemplate
2071.908,002.975,002.975,xptemplate
2073.086,000.086,000.086,vim-airline
2073.554,000.328,000.328,ctrlp.vim
